year,university,school,degree,employment_rate_overall,employment_rate_ft_perm,basic_monthly_salary,gross_monthly_salary
2015,Singapore Management University,School of Economics (4-year programme) *,Economics,90.3,85.8,3798,3946
2015,Singapore Management University,School of Economics (4-year programme) *,Economics Cum Laude and above,98.2,92.7,4249,4380
2015,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management,94.8,85.9,3491,3660
2015,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management Cum Laude and above,97.4,92.1,3577,3834
2015,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences,89,83,3306,3550
2015,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences Cum Laude and above,93.1,89.7,3887,4012
2015,Singapore Management University,School of Law (4-year programme) *,Law #,99,99,4889,4997
2015,Singapore Management University,School of Law (4-year programme) *,Law Cum Laude and above #,100,100,5160,5313
2015,Singapore University of Technology and Design,na,Bachelor of Engineering (Engineering Product Development),92.5,88.1,3595,3565
2015,Singapore University of Technology and Design,na,Bachelor of Engineering (Engineering Systems and Design),80.3,71.8,3699,3763
2015,Singapore University of Technology and Design,na,Bachelor of Engineering (Information Systems Technology and Design),86,83.7,3872,3952
2015,Singapore University of Technology and Design,na,Bachelor of Science (Architecture and Sustainable Design) ###,na,na,na,na
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design **,na,na,na,na
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,88.5,65.4,2643,2682
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design **,na,na,na,na
2015,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,95.2,90.5,3332,3346
2015,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,76.1,54.3,2896,2922
2015,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,87.5,71.9,2520,2893
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,85.5,72.6,3097,3405
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,83,77.4,3334,3452
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,91.7,91.7,3180,3354
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,90.5,83.3,3069,3266
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,100,100,3211,3266
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,100,94.7,3166,3469
2015,Singapore Institute of Technology,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,89.2,81.1,2683,2876
2015,Singapore Institute of Technology,Technische Universit�t M�nchen,Bachelor of Science in Chemical Engineering,87.5,79.2,2759,2970
2015,Singapore Institute of Technology,Technische Universit�t M�nchen,Bachelor of Science in Electrical Engineering & Information Technology,100,90,3044,3339
2015,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,92.6,81.5,2482,2586
2015,Singapore Institute of Technology,Singapore Institute of Technology -Trinity College Dublin,Bachelor in Science (Diagnostic Radiography),100,100,3322,3486
2015,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Occupational Therapy),100,100,3126,3149
2015,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Physiotherapy),100,98.3,3234,3310
2015,Singapore Institute of Technology,Trinity College Dublin,Bachelor in Science (Radiation Therapy) **,na,na,na,na
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,81.6,73.7,2766,2840
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,83.3,70.8,3128,3185
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,72.2,61.1,3160,3685
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,96.4,94.5,3202,3404
2015,Singapore Institute of Technology,University of Glasgow,Bachelor of Science with Honours in Computing Science,95.6,86.7,3247,3391
2015,Singapore Institute of Technology,University of Manchester,Bachelor of Science with Honours in Nursing Practice,98.3,96.7,3304,3624
2015,Singapore Institute of Technology,"University of Nevada, Las Vegas",Bachelor of Science (Major in Hospitality Management),89.9,82.6,2515,2607
2015,Singapore Institute of Technology,Wheelock College,Bachelor of Science in Early Childhood Education,100,96.4,2772,2807
2016,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy,97.3,95.1,3027,3063
2016,Nanyang Technological University,College of Business (Nanyang Business School),Accountancy and Business,97.4,96.6,3836,3893
2016,Nanyang Technological University,College of Business (Nanyang Business School),Business,89.6,77.1,3348,3444
2016,Nanyang Technological University,College of Business (Nanyang Business School),Business and Computing,94.4,94.4,4232,4407
2016,Nanyang Technological University,College of Engineering,Aerospace Engineering,82.4,77.9,3761,3840
2016,Nanyang Technological University,College of Engineering,Aerospace Engineering and Economics **,na,na,na,na
2016,Nanyang Technological University,College of Engineering,Bioengineering,77.8,63.9,3151,3317
2016,Nanyang Technological University,College of Engineering,Business and Computer Engineering **,na,na,na,na
2016,Nanyang Technological University,College of Engineering,Chemical And Biomolecular Engineering,80.6,72.6,3336,3476
2016,Nanyang Technological University,College of Engineering,Civil Engineering,92.4,91.6,3407,3505
2016,Nanyang Technological University,College of Engineering,Computer Engineering,83.3,75.9,3792,3833
2016,Nanyang Technological University,College of Engineering,Computer Science,94.6,91.4,3784,3848
2016,Nanyang Technological University,College of Engineering,Electrical And Electronic Engineering,89.1,83.6,3443,3517
2016,Nanyang Technological University,College of Engineering,Environmental Engineering,80.6,74.2,3156,3216
2016,Nanyang Technological University,College of Engineering,Information Engineering And Media,94.6,87.5,3496,3570
2016,Nanyang Technological University,College of Engineering,Maritime Studies,94.2,88.5,3305,3328
2016,Nanyang Technological University,College of Engineering,Materials Engineering,81.3,73.5,3197,3317
2016,Nanyang Technological University,College of Engineering,Materials Engineering and Economics **,na,na,na,na
2016,Nanyang Technological University,College of Engineering,Mechanical Engineering,86,79.9,3417,3505
2016,Nanyang Technological University,College of Engineering,Mechanical Engineering and Economics **,na,na,na,na
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences","Art, Design & Media",79.7,46.6,2718,2761
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Chinese,91.1,74.7,3239,3345
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Communication Studies,87.7,69.6,2938,2996
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Economics,91.3,79.3,3385,3440
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",English,75,54.2,2974,2997
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",History,87.2,76.6,3027,3082
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Linguistics And Multilingual Studies,81.8,61.8,3283,3368
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Psychology,82.1,66.7,3083,3136
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Public Policy And Global Affairs **,na,na,na,na
2016,Nanyang Technological University,"College of Humanities, Arts & Social Sciences",Sociology,86.1,63.9,3279,3480
2016,Nanyang Technological University,College of Sciences,Biomedical Sciences & Chinese Medicine #,94.4,88.9,2525,2577
2016,Nanyang Technological University,College of Sciences,Biological Sciences,80.5,64,3132,3222
2016,Nanyang Technological University,College of Sciences,Chemistry & Biological Chemistry,80.6,64.2,3119,3234
2016,Nanyang Technological University,College of Sciences,Mathematical Sciences,88.5,76.9,3453,3535
2016,Nanyang Technological University,College of Sciences,Mathematics & Economics,89.4,72.7,3346,3458
2016,Nanyang Technological University,College of Sciences,Physics / Applied Physics,85.7,77.1,3578,3683
2016,Nanyang Technological University,Sports Science and Management,Sports Science and Management,83.1,66.1,3196,3272
2016,Nanyang Technological University,National Institute of Education (NIE),Arts (with Education),100,100,3337,3525
2016,Nanyang Technological University,National Institute of Education (NIE),Science (with Education),100,100,3438,3546
2016,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,86.1,62.5,2971,3063
2016,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),90.7,74.1,3258,3321
2016,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,89.5,73.3,3341,3423
2016,National University of Singapore,Faculty Of Dentistry,Bachelor of Dental Surgery,100,100,4173,4221
2016,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Biomedical Engineering),91.9,80.6,3314,3366
2016,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Chemical Engineering),85.3,80.3,3414,3562
2016,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Civil Engineering),95.3,91.9,3402,3509
2016,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Computer Engineering),89.1,85.9,3884,3942
2016,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Electrical Engineering),91.9,87.6,3669,3765
2016,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Engineering Science),85.2,74.1,3549,3707
2016,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Environmental Engineering),79.3,65.5,3432,3470
2016,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),80.3,78.9,3788,3879
2016,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Materials Science And Engineering),90.2,78.4,3381,3501
2016,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Mechanical Engineering),86.6,81,3470,3560
2016,National University of Singapore,Faculty of Law,Bachelor of Laws (L.L.B) (Hons) #,97.7,95.9,4844,4898
2016,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,na,na,na,na
2016,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),81,61.9,2905,3058
2016,National University of Singapore,Faculty of Science,Bachelor of Science,84.3,59.4,2895,2995
2016,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),84.9,71.7,3331,3386
2016,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,na,na,na,na
2016,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy)(Hons) #,99.1,97.2,3500,3597
2016,National University of Singapore,NUS Business School,Bachelor of Business Administration,93.6,80.7,3232,3282
2016,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),96.4,92.8,4126,4207
2016,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),88.6,86.4,2977,3020
2016,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),99,99,3435,3465
2016,National University of Singapore,School of Computing,Bachelor of Computing (Communications And Media) **,na,na,na,na
2016,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),96.3,93.3,4320,4385
2016,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce) **,na,na,na,na
2016,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),94,94,3875,3969
2016,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,93.2,89.8,3926,3960
2016,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),90.6,65.6,3282,3320
2016,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),87.8,84.7,3035,3113
2016,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),94.6,92.4,3247,3368
2016,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Medicine and Bachelor Of Surgery #,99.4,99.4,4460,4887
2016,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing),93.2,90.9,3166,3363
2016,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing) (Hons),95.1,95.1,3308,3529
2016,National University of Singapore,Yong Siew Toh Conservatory of Music,Bachelor of Music,85.7,14.3,3250,3250
2016,National University of Singapore,Multi-Disciplinary Programme,Bachelor of Environmental Studies,83.8,67.6,3347,3399
2016,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy,98.5,96,3390,3455
2016,Singapore Management University,School of Accountancy (4-year programme) *,Accountancy Cum Laude and above,100,100,3827,3943
2016,Singapore Management University,School of Business (4-year programme) *,Business Management,92.4,84.6,3727,3831
2016,Singapore Management University,School of Business (4-year programme) *,Business Management Cum Laude and above,96.1,92.1,4140,4234
2016,Singapore Management University,School of Economics (4-year programme) *,Economics,93.4,84,3801,3906
2016,Singapore Management University,School of Economics (4-year programme) *,Economics Cum Laude and above,97,92.5,4315,4425
2016,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management,95.7,91.5,3837,3897
2016,Singapore Management University,School of Information Systems (4-year programme) *,Information Systems Management Cum Laude and above,97.5,95,4504,4603
2016,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences,91.5,80.4,3199,3311
2016,Singapore Management University,School of Social Sciences (4-year programme) *,Social Sciences Cum Laude and above,94.9,87.2,3405,3548
2016,Singapore Management University,School of Law (4-year programme) *,Law #,95.8,93.7,4810,4915
2016,Singapore Management University,School of Law (4-year programme) *,Law Cum Laude and above #,96.7,96.7,4950,5095
2016,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design **,na,na,na,na
2016,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation,73.3,53.3,3045,3052
2016,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design,85.7,85.7,3312,3329
2016,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,100,92.9,3729,3803
2016,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,91.1,58.9,2652,2652
2016,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,97.4,76.3,2467,2485
2016,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,85.9,71.8,3201,3463
2016,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,86.4,79.7,3239,3440
2016,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering,95.2,81,3812,3956
2016,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,87,77.8,3162,3344
2016,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture,90,90,3172,3239
2016,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering,86.4,72.7,3172,3286
2016,Singapore Institute of Technology,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,86.7,62.2,2598,2707
2016,Singapore Institute of Technology,Technische Universit�t M�nchen,Bachelor of Science in Chemical Engineering,78.6,67.9,2776,3149
2016,Singapore Institute of Technology,Technische Universit�t M�nchen,Bachelor of Science in Electrical Engineering & Information Technology,90.9,86.4,2978,3042
2016,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,86.2,69,2231,2344
2016,Singapore Institute of Technology,Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin,Bachelor in Science (Diagnostic Radiography),88.2,88.2,3406,3628
2016,Singapore Institute of Technology,Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin,Bachelor in Science (Occupational Therapy),100,100,3297,3301
2016,Singapore Institute of Technology,Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin,Bachelor in Science (Physiotherapy),100,100,3310,3344
2016,Singapore Institute of Technology,Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin,Bachelor in Science (Radiation Therapy) **,na,na,na,na
2016,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,81.6,65.3,3042,3277
2016,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,82.2,64.4,3312,3390
2016,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechanical Design Engineering,87,70.4,3187,3273
2016,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Mechatronics,88.7,80.3,3406,3523
2016,Singapore Institute of Technology,University of Glasgow,Bachelor of Science with Honours in Computing Science,89.8,81.6,3645,3704
2016,Singapore Institute of Technology,University of Manchester,Bachelor of Science with Honours in Nursing Practice,92.7,85.5,3378,3600
2016,Singapore Institute of Technology,University of Liverpool,Bachelor of Arts with Honours in Criminology and Security,92.6,81.5,4096,4131
2016,Singapore Institute of Technology,Wheelock College,Bachelor of Science in Early Childhood Education,98,92,2705,2707
2016,Singapore University of Technology and Design,na,Bachelor of Engineering (Engineering Product Development),87,79.7,3620,3690
2016,Singapore University of Technology and Design,na,Bachelor of Engineering (Information Systems Technology and Design),91.9,91.9,4197,4232
2016,Singapore University of Technology and Design,na,Bachelor of Engineering (Engineering Systems and Design),100,93.5,3695,3830
2016,Singapore University of Technology and Design,na,Bachelor of Science (Architecture and Sustainable Design) ###,na,na,na,na
2017,Nanyang Technological University,College of Business (Nanyang Business School),Bachelor of Accountancy (Hons),97.1,94.5,3121,3166
2017,Nanyang Technological University,College of Business (Nanyang Business School),Double Degree in Bachelor of Accountancy (Hons) and Bachelor of Business (Hons),97.2,94.3,3830,3892
2017,Nanyang Technological University,College of Business (Nanyang Business School),Bachelor of Business (Hons),93,80.8,3530,3643
2017,Nanyang Technological University,College of Business (Nanyang Business School),Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Science),100,95,5036,5225
2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Aerospace Engineering),80,75,3645,3702
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Aerospace Engineering) and Bachelor of Arts (Hons) in Economics **,na,na,na,na
2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Bioengineering),78.3,65.2,3326,3486
2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering),82.3,75.3,3326,3577
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering  (Hons) (Chemical And Biomolecular Engineering) and Bachelor of Arts (Hons) in Economics **,na,na,na,na
2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Civil Engineering),98.5,96.9,3373,3442
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Civil Engineering) and Bachelor of Arts (Hons) in Economics **,na,na,na,na
2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Computer Engineering),95.1,87.8,3667,3743
2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Computer Science),92.4,86.7,4078,4160
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Engineering) **,na,na,na,na
2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Electrical & Electronic Engineering),89.3,85,3532,3657
2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Environmental Engineering),71.8,64.1,3538,3588
2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Information Engineering & Media),86.9,78.7,3685,3790
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Information Engineering & Media) and Bachelor of Arts (Hons) in Economics **,na,na,na,na
2017,Nanyang Technological University,College of Engineering,Bachelor of Science (Hons) (Maritime Studies),92.2,92.2,3279,3333
2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Materials Engineering),84.9,75.6,3288,3434
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Materials Engineering) and Bachelor of Arts (Hons) in Economics **,na,na,na,na
2017,Nanyang Technological University,College of Engineering,Bachelor of Engineering (Hons) (Mechanical Engineering),82.7,74.9,3422,3579
2017,Nanyang Technological University,College of Engineering,Double Degree in Bachelor of Engineering (Hons) (Mechanical Engineering) and Bachelor of Arts (Hons) in Economics **,na,na,na,na
2017,Nanyang Technological University,College of Engineering,Bachelor of Fine Arts (Hons),88.5,54,2862,2909
2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Chinese,84.6,67.7,3119,3147
2017,Nanyang Technological University,College of Engineering,Bachelor of Communication Studies (Hons),92.6,62.2,3134,3184
2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Economics,84.7,75.5,3286,3379
2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in English,77.8,50.8,3042,3149
2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in History,86,68.4,3206,3265
2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Linguistics And Multilingual Studies,80,60,3042,3117
2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Philosophy **,na,na,na,na
2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Psychology,78.9,59.2,3107,3151
2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Public Policy And Global Affairs,74.1,66.7,3353,3479
2017,Nanyang Technological University,College of Engineering,Bachelor of Arts (Hons) in Sociology,77.6,62.1,3263,3309
2017,Nanyang Technological University,College of Sciences,Double Degree in Bachelor of Science (Hons) in Biomedical Sciences and Bachelor of Medicine (Chinese Medicine) #,92,80,2722,2792
2017,Nanyang Technological University,College of Sciences,Bachelor of Science (Hons) in Biological Sciences,80.4,62.6,3177,3255
2017,Nanyang Technological University,College of Sciences,Bachelor of Science (Hons) in Chemistry & Biological Chemistry,70.1,51.1,3035,3173
2017,Nanyang Technological University,College of Sciences,Bachelor of Science (Hons) in Mathematical Sciences,89.7,79.5,3517,3580
2017,Nanyang Technological University,College of Sciences,Bachelor of Science (Hons) in Mathematics & Economics,89.8,83.1,3504,3625
2017,Nanyang Technological University,College of Sciences,Bachelor of Science (Hons) in Physics/Applied Physics,81.6,61.8,3367,3490
2017,Nanyang Technological University,Sports Science and Management,Bachelor of Science (Hons) (Sport Science & Management),81.1,48.6,3372,3486
2017,Nanyang Technological University,National Institute of Education (NIE),Bachelor of Arts (Hons) (Education),100,100,3489,3589
2017,Nanyang Technological University,National Institute of Education (NIE),Bachelor of Science (Hons) (Education),100,100,3610,3701
2017,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts,85.8,61.9,3005,3107
2017,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Arts (Hons),88.2,66.7,3309,3391
2017,National University of Singapore,Faculty of Arts & Social Sciences,Bachelor of Social Sciences,88.3,74.7,3365,3443
2017,National University of Singapore,Faculty Of Dentistry,Bachelor of Dental Surgery,100,100,4124,4143
2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Biomedical Engineering),90.6,81.3,3215,3367
2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Chemical Engineering),87.8,81.3,3550,3727
2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Civil Engineering),95.5,90.9,3361,3427
2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Electrical Engineering),89.4,86.5,3529,3641
2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Engineering Science),76.5,64.7,3783,3827
2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Environmental Engineering),86.3,71.2,3425,3546
2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),93.3,89.9,3905,4035
2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Materials Science And Engineering),94,86,3269,3570
2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Mechanical Engineering),87.3,82.3,3537,3657
2017,National University of Singapore,Faculty of Law,Bachelor of Laws #,95.8,92.3,4958,5121
2017,National University of Singapore,Faculty of Science,Bachelor of Applied Science **,na,na,na,na
2017,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),82.1,50,3186,3187
2017,National University of Singapore,Faculty of Science,Bachelor of Science,76.9,54.5,3053,3214
2017,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),85.9,69.3,3340,3435
2017,National University of Singapore,Faculty of Science,Bachelor of Science (Computational Biology) **,na,na,na,na
2017,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) #,99.1,94.5,3473,3616
2017,National University of Singapore,NUS Business School,Bachelor of Business Administration,94.9,87.3,3770,4031
2017,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),98.2,93.6,4272,4388
2017,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),97.2,94.4,3396,3473
2017,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),100,100,3689,3744
2017,National University of Singapore,School of Computing,Bachelor of Computing (Communications And Media) **,na,na,na,na
2017,National University of Singapore,School of Computing,Bachelor of Computing (Computational Biology) **,na,na,na,na
2017,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),93.5,89.4,4510,4628
2017,National University of Singapore,School of Computing,Bachelor of Computing (Electronic Commerce) **,na,na,na,na
2017,National University of Singapore,School of Computing,Bachelor of Computing (Information Security) **,na,na,na,na
2017,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),94.5,91.8,4061,4192
2017,National University of Singapore,School of Computing,Bachelor of Science (Business Analytics),97.6,97.6,4114,4203
2017,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,91.3,86.4,4037,4079
2017,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),93.3,60,3034,3079
2017,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),90.8,81.7,3105,3162
2017,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),93.8,88.7,3090,3168
2017,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Medicine And Bachelor Of Surgery #,100,100,4367,4882
2017,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing),97.4,97.4,3165,3328
2017,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing) (Hons),91.8,89.8,3280,3462
2017,National University of Singapore,YST Conservatory Of Music,Bachelor of Music,73.3,26.7,2298,2500
2017,National University of Singapore,Yale-NUS College,Bachelor of Arts with Honours,93.5,76.6,3812,3956
2017,National University of Singapore,Yale-NUS College,Bachelor of Science with Honours,91.7,75,4362,4362
2017,National University of Singapore,Multi-Disciplinary Programmes,Bachelor of Engineering (Computer Engineering),89.4,84.7,4010,4131
2017,National University of Singapore,Multi-Disciplinary Programmes,Bachelor of Environmental Studies,88.7,62.3,3297,3419
2017,Singapore Management University,School of Accountancy (4-years programme) *,Accountancy,98,96.6,3569,3646
2017,Singapore Management University,School of Accountancy (4-years programme) *,Accountancy Cum Laude and above,97.8,97.8,4037,4089
2017,Singapore Management University,School of Business (4-years programme) *,Business Management,93.3,85.7,3862,3995
2017,Singapore Management University,School of Business (4-years programme) *,Business Management Cum Laude and above,95.8,92,4364,4504
2017,Singapore Management University,School of Economics (4-years programme) *,Economics,91.3,82.6,4013,4143
2017,Singapore Management University,School of Economics (4-years programme) *,Economics Cum Laude and above,93.2,90.5,4591,4737
2017,Singapore Management University,School of Information Systems (4-years programme) *,Information Systems Management,95.1,91.3,3922,4014
2017,Singapore Management University,School of Information Systems (4-years programme) *,Information Systems Management Cum Laude and above,96.1,94.1,4211,4305
2017,Singapore Management University,School of Social Sciences (4-years programme) *,Social Sciences,91.3,78,3344,3493
2017,Singapore Management University,School of Social Sciences (4-years programme) *,Social Sciences Cum Laude and above,87.9,81.8,3810,3938
2017,Singapore Management University,School of Law (4-years programme) *,Law #,97.6,94,4778,4941
